便塊除去	摘便
左腎盂癌（２０１０．１月手術）	腎盂の悪性新生物
過敏性大腸炎	過敏性大腸
肩凝り	肩こり
クレアチニン軽度上昇	クレアチニン増加
尿感染	尿路感染
狭心症（ｐｏｓｔＰＣＩ）	狭心症
前胸部掻痒症	限局性そう痒
がん（原発不明）	癌
歯牙破折（臼歯）	歯牙破折
両アレルギー性結膜炎	アレルギー性結膜炎
多血症(赤血球増加症によるもの)	赤血球増加症
腎がんの進行	腎癌
炎症性偽腫瘍疑い	炎症性偽腫瘍
糖尿病性黄斑浮腫（右眼）	糖尿病性黄斑浮腫
憂鬱、	憂うつ感
両上肢湿疹	湿疹
虚血性脳卒中の発症抑制	脳血管発作予防
メニエル症候群	メニエール症候群
輸血関連合併症ＮＯＳ	輸血関連合併症
慢性すい炎	慢性膵炎
消化器症状（胸焼け）	胸やけ
右大腿部筋肉痛	下肢筋肉痛
維持透析中	透析
血栓症を疑う症状（詳細不明）	血栓症
慢性胃炎十二指腸潰瘍瘢痕	無し
1乳頭径を超える網膜色素上皮剥離	網膜色素上皮剥離
意識レベル低下	意識レベルの低下
膵酵素上昇（リパーゼ）	リパーゼ増加
死亡（肺炎）	肺炎
右高眼圧症	高眼圧症
祖母肝Ｃａ実母ＨＴ	家族性危険因子
左尺骨骨折	尺骨骨折
心臓カテーテルアブレーション	心臓アブレーション
皮膚の発赤	皮膚発赤
脳出血（左視床被殻混合型出血）	脳出血
結滞【脈拍欠滞】	脈拍欠滞
ステロイド性筋症	ステロイド性ミオパチー
外的刺激性皮膚損傷	皮膚損傷
右肺上葉末梢小結節	肺小結節
クレアチン・フォスフォキナーゼ上昇	クレアチンホスホキナーゼ増加
網膜細動脈瘤（右眼）	網膜細動脈瘤
原因不明の黄斑変性	黄斑変性
掻痒症（上半身）	そう痒症
右下腿開放骨折（交通外傷）	無し
気腫性のう胞	気腫性嚢胞
息苦しい感じ	呼吸困難
透析中血圧低下	血圧低下
ＦＤＰ値上昇	フィブリン分解産物増加
下腹部腹壁内血腫術後	腹壁血腫
左甲状腺腫瘍	甲状腺腫瘍
骨粗鬆症治療	骨粗鬆症
ストーマヘルニア	ストーマ部ヘルニア
腰のリンパ節炎	リンパ節炎
不全左片麻痺	不全片麻痺（左）
胃粘膜障害（びらん）	胃粘膜びらん
網膜中心動脈分枝閉塞症（右眼）	網膜静脈閉塞
背部の掻痒	限局性そう痒
乳腺下ひだ真菌症	真菌感染様皮膚炎
蕁麻疹（両太もも）	蕁麻疹
水が甘く感じる	甘味
悪心（胃のむかつき）	悪心
実質性角膜炎	角膜炎
１０代前半虫垂炎手術	虫垂炎
反応性膠原線維症【反応性穿孔性膠原線維症】	反応性穿孔性膠原線維症
第五腰椎圧迫骨折	腰椎圧迫骨折
自然気胸（再発）	自然気胸
足底の圧痛	足部痛
ＲＶＯ（左眼）	網膜静脈閉塞
１８歳虫垂炎切除	虫垂炎
卵巣のう腫疑い	卵巣嚢腫
腰痛症悪化	腰痛症
左膝捻挫	膝関節捻挫
心尖部心室瘤	心室瘤
右内踝挫創	足関節損傷
くるみによるアレルギー	ナッツアレルギー
皮膚剥離（手足）	皮膚剥離
右下肢骨折	下肢骨折
右眼の充血	眼充血
L1-L5脊柱管狭窄症	腰部脊柱管狭窄症
知覚鈍麻（腕）	感覚鈍麻
腹部創疼痛	創部痛
再々誤嚥	誤嚥
特発性難聴	難聴
う歯	齲歯
癌(部位不明)	癌
多発脳出血	脳出血
血圧↑	血圧上昇
血漿交換療法	プラスマフェレシス
直腸癌（手術）	直腸癌
早発型妊娠高血圧	妊娠高血圧
低カルシウム血症の悪化	低カルシウム血症
高血圧の増悪	高血圧増悪
点滴終了後熱感	熱感
１型糖原病	１型糖原貯蔵障害
血管内大細胞型Ｂ細胞リンパ腫	血管内大細胞型Ｂ細胞性リンパ腫
尋常性乾癬の悪化	乾癬増悪
出血を伴う増大した胃底腺ポリープ	胃ポリープ出血
右肘擦過症	皮膚擦過傷
γーＧＴＰ高値	γ－グルタミルトランスフェラーゼ高値
洞不全症候群の増悪	洞不全症候群
右尿管癌	尿管癌
回腸腫瘍	消化器新生物
Ｔ－ｃｈｏｌ上昇	総コレステロール増加
心エコー上の圧較差の増悪	弁圧較差
症候性神経症	神経症
両眼結膜炎	結膜炎
膵臓がん	膵癌
ビタミンＤ代謝異常	ビタミンＤ異常
胃部不快、下痢＆便秘	無し
特発性副甲状腺機能低下症	副甲状腺機能低下症
人工肛門形成術	人工肛門
２５才盲腸手術（虫垂炎手術）	虫垂炎
胃癌腹膜播腫	無し
側変症	側弯症
前立腺肥大症の悪化	前立腺肥大症
尿素窒素低下	血中尿素窒素減少
心膜部分切除術	心膜切除
人工血管による内シャント造設術後	動静脈シャント手術
右肺腫瘍	肺新生物
尋常性ゆうぜい	尋常性疣贅
腰椎椎間板症悪化	腰部椎間板疾患
左腓骨神経麻痺	腓骨神経麻痺
足背の痛み	足部痛
脳こうそく後	脳梗塞
胃Ｃａ（手術）胃亜全摘	無し
脳梗塞（全身性）	脳梗塞
膵内分泌腫瘍	膵神経内分泌腫瘍
皮膚のかゆみ	皮膚そう痒
左側腹部粉瘤	皮下粉瘤
親不知の抜歯による痛み	術後痛
穿刺カテーテル皮下残留	体内異物
全身かゆみ	全身性そう痒
非特異反応ＮＯＳ	非特異反応
甲状腺全摘術	甲状腺全摘除
後頭部がしびれる感じ	後頭部しびれ感
膀胱Γ線療法	膀胱γ線療法
うつ的症状	抑うつ症状
二枝ブロック（左脚前枝）	左脚前枝ブロック
狭心症（疑い）	狭心症
前房障害	前眼房障害
萎縮性表在性胃炎	萎縮性胃炎
上行結腸癌	上行結腸の悪性新生物
解離性大動脈瘤にて手術	解離性大動脈瘤
肝カルチノイド	カルチノイド腫瘍
右膝皮フ剥離	局所性表皮剥脱
膀胱出血（膀胱がん）	無し
ＩＰ低下	リン酸塩減少
杉花粉症	花粉症
左滲出性中耳炎	滲出性中耳炎
じん帯損傷	靱帯損傷
血圧下降	血圧低下
易転倒性	転倒
多発肝腫瘍疑い	肝腫瘍
切れ痔	裂肛
過活動膀胱による尿意切迫感	無し
全身性紅斑性狼瘡	全身性エリテマトーデス
２４歳直腸周囲膿瘍	直腸周囲膿瘍
ＩｎｔａｃｔＰＴＨ上昇	ＰＴＨ増加
虫垂切除（１５才）	虫垂切除
父；高血圧	心血管障害の家族歴
結腸癌（Ｓ状結腸）	Ｓ状結腸の悪性新生物
非特異的ＳＴ／Ｔ波異常	心電図ＳＴ－Ｔ部分異常
高血圧（Ｇ２）	高血圧
腎静脈瘤	腎静脈静脈瘤
腓腹筋損傷	筋損傷
点滴抜針後の持続出血	静脈穿刺部位出血
あざ	紫斑
左肘打撲	肘の挫傷
全身けんたい	全身倦怠
腰部椎間板障害	腰部椎間板疾患
多発性脳梗塞症	多発性脳梗塞
脳動脈硬化	脳動脈硬化症
幽門前庭良性びらん	胃粘膜びらん
多関節痛	多発性関節痛
中枢神経-神経膠腫、HIGH GRADE(III/IV)	神経鞘腫
狭心症（軽症）	狭心症
顔面のかゆみ	顔面そう痒症
高カリウム血しょう	高カリウム血症
ビタミンＢ１２欠乏症	ビタミンＢ１２欠乏
肺癌術後	肺癌
腰脊椎管板ヘルニア	脊椎ヘルニア
心エコー上の圧較差の増悪（三尖弁）	推定三尖弁収縮期圧較差
左葉肝細胞癌	肝細胞癌
眼球摘出	眼球摘除
両肩関節痛症	肩関節痛
眼の周囲のそう痒	顔面そう痒症
抗酸菌感染	マイコバクテリア感染
２００５年１２月肝転移巣肝Ｓ４部分切除術	肝転移
左手関節炎	関節炎
鎌状赤血球Βサラセミア	鎌状赤血球βサラセミア
大腸ボリープ	大腸ポリープ
発熱、炎症反応上昇【発熱】	発熱
皮膚反応（右手落屑）	局所性表皮剥脱
顔面、体幹、四肢に発赤、皮疹あり	紅斑性皮疹
尿潜血増加	尿潜血陽性
注射部位腫脹（右眼）	注射部位腫脹
労作時呼吸困難	労作性呼吸困難
紅斑様皮疹	紅斑性皮疹
甲状腺機能低下症（甲状腺全摘出後）	甲状腺機能低下症
異常性器出血	性器出血
肝酵素値の上昇	肝酵素上昇
肝硬変症	肝硬変
左そ径部痛	鼡径部痛
右横静脈洞血栓症	横静脈洞血栓症
抗アレルギー【アレルギー】	アレルギー
軽度貧血進行	貧血増悪
乳癌（luminal type）	乳癌
尿線微弱	尿線細小
右股関節	無し
膀胱がん手術	膀胱癌
慢性腎症疑い	慢性腎臓病
Ｐａｔ【心房細動】	心房細動
膵腫瘍（ＩＰＭＣ）	膵管内乳頭粘液性癌
慢性腎不全の悪化	慢性腎不全増悪
口中苦味感	苦味
感染性皮膚疾患	皮膚感染
発熱（３９℃台）	発熱
再発性大腸癌	大腸癌
糖尿病性黄斑浮腫（左眼）	糖尿病性黄斑浮腫
出産経験ＮＯＳ	出産経験
肝性脳症（予防で）	予防
歯根膜周囲炎	歯根膜炎
丘疹（右手母指関節）	丘疹
腰椎多発圧迫骨折	腰椎圧迫骨折
歯牙欠損	歯牙破折
脊髄腫瘍術後	脊髄新生物
１９７３扁桃摘除	扁桃摘出
血腫（左頚部）	血腫
意識消失発作（器質的異常はなし）	意識消失
下顎振戦	口囲振戦
腰椎すべり症術後	腰椎すべり症
急性下痢症	急性下痢
尿潜血（２＋）	尿潜血陽性
腰部後縦靱帯骨化症	後縦靱帯骨化症
ＡＳＯ（閉塞性動脈硬化症）	閉塞性動脈硬化症
Ｅ型劇症肝炎	Ｅ型肝炎
胸隔出口症候群	胸郭出口症候群
テレビが観ずらくなった	視力低下
左房内血栓除去	心房血栓症
左後頭葉皮質下出血	脳出血
アルミシートの先端のとんがった部分でケガをした	製品包装に関連した外傷
アルブミン	無し
アバスチンによる高血圧	高血圧
腸穿孔→ストマ造設→１年後ストマ閉鎖	腸穿孔
合併症の悪化(貧血)	貧血増悪
挿入時に非常に痛がった	処置による疼痛
右声帯麻痺	声帯麻痺
右突発性難聴	突発性難聴
右膝部打撲症	膝の挫傷
脊椎多発転移	脊椎転移
ろれつがまわらない	ろれつ不良
好中球／顆粒球	無し
低Γグロブリン血症ＮＯＳ	低γグロブリン血症ＮＯＳ
外陰部のカンジダ症	外陰部カンジダ
シャント部接触性皮膚炎	接触皮膚炎
吐き気がひどい	吐き気
湿疹（顔面）	顔面湿疹
右膝変形性関節症	変形性膝関節症
腰部膨隆疹	限局性蕁麻疹
抗リン脂質症候群にバイアスピリンを処方	適応外使用
腋窩間擦疹	間擦疹
小腸部分切除術	小腸切除
左下肢閉塞性動脈硬化症の悪化	下肢閉塞性動脈硬化症
腹膜透析用カテーテル出口部慢性感染	血管確保部位感染
ニキビのような発疹	ざ瘡様発疹
遺産逆流症	胃食道逆流
足趾皮膚剥離	足指剥脱
咳が出る	咳嗽
憩室の中に薬剤貯留	薬剤残留
尿沈渣紡錘上皮細胞増加	尿中上皮細胞増加
注射部位付近の皮下脂肪織炎	注射部位蜂巣炎
転倒による臀部打撲	無し
両下肢痛の増悪	両下肢痛
穿刺時疼痛	穿刺部位疼痛
ＰＴ－ＩＮＲ延長	ＩＮＲ増加
上咽頭炎	咽頭炎
ペースメーカー植え込み後、慢性心不全	慢性心不全
心房粗細動【心房細動】	心房細動
治癒切除不能な進行・再発の大腸癌	大腸癌
心房細動の発作	発作性心房細動
ALT高値	ＡＬＴ高値
抜歯後治りが悪	治癒遅延
右大胸筋内出血	筋肉内出血
右変形性肩関節症	変形性肩関節症
尿道口の炎症	尿道炎
虫歯の痛み	無し
直腸癌OP後	直腸癌
皮フ炎	皮膚炎
右左乳腺のう胞	乳房嚢胞
右腎腫瘍術後Ｈ２２年３月手術良性	腎腫瘍摘除
頸部掻痒感	限局性そう痒
抗カルジオリピンβ2グリコプロテインI抗体の陽性	抗カルジオリピン抗体陽性
切創（左手中指、薬指）	指の損傷ＮＯＳ
腹部痙攣	腹部痙縮
顔、体幹部、腕など広範囲の皮疹	皮疹
糖尿病性末しょう神経障害	糖尿病性ニューロパチー
腹部大動脈瘤（全身性）	腹部大動脈瘤
肝細胞癌（多発・再発）	肝細胞癌
実父：腎不全、実母：大腸癌	家族性危険因子
左足底切創	足の損傷
安定狭心症（ステント留置）	安定狭心症
腰痛症の悪化	腰痛症
家族性パーキンソン病	パーキンソン病
ＧＰＴの高値	ＧＰＴ増加
筋肉痛（全身）	全身性筋肉痛
ｄ‐ダイマー値が高い	フィブリンＤダイマー高値
足に違和感	足部不快感
喉苦しさ	咽頭絞扼感
膝疼痛の悪化	膝痛
唇の炎症	口唇炎症
出血性事象：胃出血, 出血部位：消化器	胃出血
限局性脂肪沈着疑い	脂肪組織増加
軽症脳梗塞再発	再発脳梗塞
左淡明細胞腎癌	腎細胞癌
総タンパク低下	総蛋白減少
右上肢のシビレ	上肢のしびれ感
ランタン沈着	薬剤残留
関節痛（両肩）	肩関節痛
慢性腎不全（詳細不明）	慢性腎不全
遠隔転移巣（詳細不明）	転移
子宮ガン手術	子宮癌
パーキンソン症状	パーキンソン病
動揺症【乗物酔い】	乗物酔い
脂質異常症（保険病名は高脂血症）	高脂血症
右卵巣内膜症性のう胞	卵巣子宮内膜症
精神興奮	精神運動興奮
Ｐ減少（血清無機リン酸塩減少）	血清無機リン酸塩減少
ひげが生える（男性化）	男性型多毛症
心原性塞栓が強く疑われる	心原性脳塞栓症
左上下知歯抜歯に伴う痛み[別レコードに＜左上下知歯抜歯＞の記載あり］	術後痛
頸椎後靭帯骨化症	頚部における後縦靱帯骨化症
パーキンソン様症状	パーキンソン病
舌のヒリヒリ感	舌ピリピリ感
相当目が悪くなっている	視力低下
発疹（両上肢）	腕の皮疹
ｉＰＴＨ増加	ＰＴＨ増加
タコイボ胃炎	いぼ状胃炎
腰のだるさ	腰部疲労感
右全人工膝関節置換術術後	人工膝関節全置換
止血に若干時間がかかった	止血延長
細箘感染症	細菌感染
膝人工関節置換術	膝関節形成
足にかゆみ	下肢そう痒
手足に蕁麻疹	蕁麻疹
インスリン産生腫瘍	インスリノーマ
ＡＬＰ上昇（２００５．４．１１）～	ＡＬＰ増加
総胆管癌	胆管癌
低血糖症状	低血糖反応
左後膜血腫	後腹膜血腫
心室性不整脈発作	心室性不整脈
胸水貯留	胸水
手足皮膚反応(抗癌試験)	手足皮膚反応
Ｂ肝→完治	無し
胆管細胞がんの疑い	胆管癌
上肢の疼痛	上肢痛
右膝窩部痛	右膝痛
右下腿発疹による擦過傷	無し
黄色帯下	腟分泌物
右膝骨折	膝骨折
便が泡立つ	異常便
下肢皮脂欠乏性湿疹	皮脂欠乏性湿疹
Ｈｂ値の低下	Ｈｂ減少
死亡【原疾患（肝細胞癌）の進行】	肝細胞癌
永続性心房細動カテーテルアブレーション後	永続性心房細動
注射部位に生じた限局性多毛症	注射部位多毛症
自殺（死亡）	自殺既遂
Ｓ状結腸出血	結腸出血
